Day,Time,Group,Food Name,Amount,Energy (kcal),Protein (g),Carbs (g),Fat (g),Fiber (g),Sugars (g),Added Sugars (g),Saturated (g),Trans-Fats (g),Monounsaturated (g),Polyunsaturated (g),Cholesterol (mg),Sodium (mg),Potassium (mg),Calcium (mg),Iron (mg),Magnesium (mg),Phosphorus (mg),Zinc (mg),Vitamin A (µg),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (µg),B1 (Thiamine) (mg),B2 (Riboflavin) (mg),B3 (Niacin) (mg),B6 (Pyridoxine) (mg),Folate (µg),B12 (Cobalamin) (µg),Caffeine (mg),Alcohol (g),Water (g)
2026-09-01,08:15 AM,Breakfast,"Oats, rolled, dry",100.00 g,379.00,13.15,67.70,6.52,10.10,0.99,0.00,1.11,0.00,1.98,2.30,0.00,6.00,362.00,52.00,4.25,138.00,410.00,3.64,0.00,0.00,0.00,0.42,2.00,0.46,0.16,1.13,0.10,32.00,0.00,0.00,0.00,10.84
2026-09-01,08:15 AM,Breakfast,"Milk, 2% fat",1.00 cup,122.00,8.05,11.70,4.83,0.00,12.30,0.00,3.07,0.20,1.10,0.18,20.00,115.00,366.00,309.00,0.07,27.00,232.00,1.17,134.00,0.50,120.00,0.07,0.50,0.10,0.45,0.22,0.09,12.00,1.29,0.00,0.00,218.00
2026-09-01,12:30 PM,Lunch,"Egg, whole, hard-boiled",1.00 large,78.00,6.30,0.56,5.30,0.00,0.56,0.00,1.63,0.02,2.04,0.71,186.00,62.00,63.00,25.00,0.59,5.00,86.00,0.53,75.00,0.00,44.00,0.52,0.10,0.03,0.26,0.03,0.06,22.00,0.56,0.00,0.00,37.30
2026-09-01,12:30 PM,Lunch,"Egg, whole, hard-boiled",1.00 large,78.00,6.30,0.56,5.30,0.00,0.56,0.00,1.63,0.02,2.04,0.71,186.00,62.00,63.00,25.00,0.59,5.00,86.00,0.53,75.00,0.00,44.00,0.52,0.10,0.03,0.26,0.03,0.06,22.00,0.56,0.00,0.00,37.30
2026-09-02,07:45 AM,Breakfast,"Banana, raw",118.00 g,105.00,1.29,27.00,0.39,3.10,14.40,0.00,0.13,0.00,0.04,0.09,0.00,1.00,422.00,6.00,0.31,32.00,26.00,0.18,4.00,10.30,0.00,0.12,0.60,0.04,0.09,0.79,0.43,24.00,0.00,0.00,0.00,88.40
2026-09-02,10:00 AM,Snacks,"Coffee, brewed",250.00 ml,2.00,0.30,0.00,0.05,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,5.00,116.00,5.00,0.02,7.00,7.00,0.05,0.00,0.00,0.00,0.02,0.20,0.04,0.19,0.48,0.00,5.00,0.00,95.00,0.00,248.00
2026-09-02,06:30 PM,Dinner,"Chicken breast, roasted",150.00 g,248.00,46.50,0.00,5.40,0.00,0.00,0.00,1.53,0.03,1.87,1.15,128.00,111.00,384.00,23.00,1.56,44.00,342.00,1.50,9.00,0.00,8.00,0.41,0.40,0.11,0.17,20.60,0.90,6.00,0.51,0.00,0.00,97.60
2026-09-02,06:30 PM,Dinner,"Rice, white, cooked",1.00 cup,205.00,4.25,44.50,0.44,0.60,0.08,0.00,0.12,0.00,0.14,0.12,0.00,2.00,55.00,16.00,1.90,19.00,68.00,0.77,0.00,0.00,0.00,0.06,0.00,0.26,0.02,2.33,0.15,92.00,0.00,0.00,0.00,108.00
2026-09-03,01:00 PM,Lunch,Olive oil,2.00 tbsp,239.00,0.00,0.00,27.00,0.00,0.00,,3.73,0.00,19.70,2.85,0.00,1.00,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,3.88,16.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2026-09-03,08:00 PM,Snacks,Red wine,5.00 fl oz,125.00,0.10,3.84,0.00,0.00,0.91,0.00,0.00,0.00,0.00,0.00,0.00,6.00,187.00,12.00,0.68,18.00,34.00,0.21,0.00,0.00,0.00,0.00,0.60,0.01,0.05,0.33,0.08,1.00,0.00,0.00,15.60,127.00
